cultivar,program,region,date,year,gdd_cumulative,brix,ta,ph,brix_ta_ratio,berry_weight_g,berry_size_mm,n_samples,n_sites,provenance
Ives,NYWGF,Western NY,2024-09-09,2024,2180.0,17.0,9.12,3.26,1.87,2.58,15.0,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-09-16,2024,2286.0,17.3,8.07,3.14,2.2,2.38,16.7,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-09-23,2024,2398.0,18.6,8.3,3.23,2.25,2.18,16.1,5,1,Extension monitoring
Ives,NYWGF,Western NY,2024-09-30,2024,2504.0,18.1,7.9,3.28,2.29,2.18,16.2,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-07-07,2025,1011.0,3.9,31.06,2.86,0.12,,,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-07-24,2025,1310.0,4.4,32.97,2.71,0.13,,,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-08-07,2025,1552.0,6.0,32.77,2.78,0.18,,,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-08-19,2025,1776.0,10.6,16.14,3.02,0.65,,,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-09-08,2025,2024.0,15.4,9.32,3.14,1.66,2.26,16.3,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-09-22,2025,2212.0,19.9,7.43,3.23,2.7,2.08,15.7,5,1,Extension monitoring
Ives,NYWGF,Western NY,2025-10-06,2025,2395.0,17.4,7.45,3.23,2.34,1.85,15.4,5,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2024-08-26,2024,1940.0,19.0,20.38,2.92,0.93,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2024-09-02,2024,2042.0,21.1,15.42,2.97,1.37,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2025-08-25,2025,1816.0,19.4,18.41,2.83,1.05,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2025-09-05,2025,1954.0,22.0,16.42,2.92,1.34,,,2,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2025-09-15,2025,2072.0,25.2,14.48,2.98,1.74,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Champlain Valley,2025-09-22,2025,2143.0,25.7,13.03,3.16,1.97,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2024-08-26,2024,1854.0,19.5,16.26,2.83,1.2,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2024-08-29,2024,1935.0,17.9,15.1,2.96,1.2,,,2,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2024-09-06,2024,2046.0,18.4,14.48,3.01,1.27,,,3,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2152.0,20.5,13.62,3.02,1.5,,,2,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2355.0,20.7,13.52,3.15,1.53,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1772.0,18.7,18.64,2.76,1.0,,,1,1,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2025-08-30,2025,1851.0,20.7,17.85,2.88,1.16,,,3,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2025-09-08,2025,1948.0,22.4,15.45,2.96,1.44,,,2,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2028.0,23.4,15.8,2.96,1.48,,,2,2,Extension monitoring
La Crescent,Veraison to Harvest,Hudson Valley,2025-09-22,2025,2119.0,26.6,14.13,3.16,1.88,,,1,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-07-01,2024,968.0,3.9,22.38,2.98,0.17,0.3,9.6,1,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-07-16,2024,1256.0,4.0,33.7,2.75,0.12,0.86,13.0,1,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,6.3,37.82,2.78,0.17,0.96,12.7,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,9.5,19.8,2.9,0.53,1.42,12.1,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,16.8,10.68,3.08,1.58,1.76,14.3,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,19.0,8.86,3.08,2.15,1.86,14.3,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2024-09-24,2024,2323.0,20.8,7.71,3.13,2.71,2.15,16.8,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-07-06,2025,980.0,5.5,32.06,2.98,0.17,0.25,,1,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-07-20,2025,1248.0,4.2,34.72,2.74,0.12,0.79,13.4,1,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-08-03,2025,1486.0,5.8,41.71,2.89,0.14,0.8,13.3,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-08-20,2025,1786.0,13.3,16.01,2.92,0.83,1.21,14.0,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-09-04,2025,1980.0,17.9,7.91,3.05,2.28,1.9,15.6,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-09-17,2025,2134.0,20.2,6.45,3.16,3.13,1.84,15.4,5,1,Extension monitoring
Lemberger,NYWGF,Finger Lakes,2025-09-29,2025,2290.0,21.8,6.08,3.17,3.59,1.96,15.8,5,1,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1884.0,16.2,12.55,2.92,1.38,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-09-02,2024,1987.0,14.1,12.94,2.97,1.09,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-09-06,2024,2048.0,19.7,9.16,3.04,2.23,,,3,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-09-16,2024,2172.0,20.2,8.18,3.1,2.54,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-09-23,2024,2272.0,21.3,7.0,3.16,3.06,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2024-09-30,2024,2362.0,22.5,5.89,3.18,3.82,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-08-25,2025,1777.0,14.6,18.2,2.74,0.8,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-08-29,2025,1848.0,17.3,13.52,2.78,1.29,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-09-06,2025,1948.0,19.6,10.84,2.98,1.85,,,3,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-09-15,2025,2046.0,21.3,8.96,3.04,2.41,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-09-22,2025,2129.0,22.7,8.22,3.12,2.79,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-09-29,2025,2226.0,23.5,7.4,3.17,3.18,,,2,2,Extension monitoring
Lemberger,Veraison to Harvest,Finger Lakes,2025-10-09,2025,2352.0,24.2,7.68,3.22,3.3,,,2,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-08-26,2024,1971.0,15.4,13.1,3.1,1.18,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-09-02,2024,2091.0,16.5,11.43,3.18,1.44,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-09-09,2024,2179.0,18.7,9.28,3.25,2.02,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-09-16,2024,2286.0,19.3,8.7,3.24,2.22,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-09-23,2024,2398.0,18.7,8.3,3.43,2.25,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2024-09-30,2024,2504.0,19.5,7.18,3.43,2.72,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-08-25,2025,1863.0,14.7,14.47,2.89,1.02,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-09-02,2025,1953.0,16.9,12.8,2.96,1.32,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-09-08,2025,2024.0,19.2,11.02,3.06,1.74,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-09-15,2025,2111.0,18.7,10.71,3.11,1.75,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-09-22,2025,2212.0,20.5,7.63,3.23,2.69,,,1,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-10-02,2025,2352.0,21.5,8.72,3.2,2.47,,,2,1,Extension monitoring
Lemberger,Veraison to Harvest,Lake Erie,2025-10-13,2025,2453.0,20.6,7.69,3.28,2.68,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2024-08-26,2024,1912.0,12.8,11.02,3.01,1.16,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2024-09-05,2024,2055.0,14.4,8.07,3.22,1.78,,,2,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2186.0,15.6,6.62,3.34,2.36,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2024-09-23,2024,2277.0,17.7,5.5,3.47,3.22,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2355.0,20.1,5.94,3.48,3.38,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2025-08-29,2025,1848.0,15.2,11.0,3.06,1.41,,,2,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2025-09-08,2025,1967.0,17.7,8.42,3.28,2.1,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2046.0,19.4,7.44,3.27,2.61,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2025-09-22,2025,2119.0,19.2,6.63,3.44,2.9,,,1,1,Extension monitoring
Louise Swenson,Veraison to Harvest,Hudson Valley,2025-09-29,2025,2212.0,18.5,6.45,3.54,2.87,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2024-08-26,2024,2005.0,14.3,18.36,3.01,0.78,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2024-09-02,2024,2125.0,17.1,12.73,3.17,1.34,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2024-09-09,2024,2213.0,18.4,10.72,3.31,1.72,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2024-09-16,2024,2307.0,19.9,8.7,3.39,2.29,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2024-09-26,2024,2454.0,20.9,8.14,3.46,2.58,,,2,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-08-25,2025,1984.0,15.3,16.36,3.04,0.94,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-09-02,2025,2093.0,18.2,11.6,3.06,1.57,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-09-08,2025,2177.0,19.1,9.18,3.23,2.08,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-09-15,2025,2272.0,20.5,7.78,3.29,2.63,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-09-22,2025,2365.0,22.2,6.71,3.44,3.31,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-09-29,2025,2476.0,21.9,6.17,3.44,3.55,,,1,1,Extension monitoring
Malbec,Veraison to Harvest,Long Island,2025-10-06,2025,2560.0,22.3,6.0,3.58,3.72,,,1,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-06-30,2024,924.0,3.4,22.57,2.98,0.15,0.41,11.1,1,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-07-15,2024,1196.0,4.0,37.92,2.77,0.11,0.58,9.9,1,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-07-29,2024,1424.0,6.5,41.27,2.79,0.16,0.61,12.8,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-08-12,2024,1660.0,13.8,13.93,3.17,1.0,0.96,13.9,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-08-28,2024,1891.0,17.1,12.39,3.05,1.39,1.1,14.9,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-09-09,2024,2039.0,20.2,10.32,3.12,1.97,1.27,15.1,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2024-09-20,2024,2193.0,22.9,10.21,3.24,2.25,1.35,14.2,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-07-06,2025,944.0,4.1,38.53,2.96,0.11,0.38,,1,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-07-20,2025,1205.0,3.8,37.69,2.78,0.1,0.53,12.0,1,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-07-30,2025,1384.0,4.6,42.86,2.94,0.11,0.74,12.9,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-08-19,2025,1712.0,17.5,17.87,2.99,0.98,0.99,13.2,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-09-04,2025,1909.0,21.2,7.79,3.32,2.73,1.1,13.1,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-09-17,2025,2056.0,23.5,6.9,3.53,3.42,1.11,13.5,5,1,Extension monitoring
Marechal Foch,NYWGF,Finger Lakes,2025-09-29,2025,2207.0,23.1,7.33,3.41,3.16,1.17,13.4,5,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2024-08-26,2024,2023.0,18.7,11.88,3.06,1.57,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2024-09-02,2024,2138.0,20.4,10.41,3.28,1.96,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2213.0,2.3,9.36,3.38,0.25,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2024-09-16,2024,2308.0,23.2,9.2,3.31,2.52,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1992.0,20.1,12.64,3.15,1.59,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2025-09-02,2025,2087.0,24.7,10.5,3.22,2.35,,,1,1,Extension monitoring
Marechal Foch,Veraison to Harvest,Hudson Valley,2025-09-08,2025,2167.0,24.1,8.87,3.38,2.72,,,1,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-07-01,2024,938.0,3.2,26.05,2.94,0.12,0.55,12.2,1,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-07-16,2024,1217.0,4.3,38.55,2.71,0.11,0.64,10.8,1,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-07-31,2024,1465.0,14.1,24.52,2.92,0.58,0.99,12.2,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-08-12,2024,1662.0,17.1,13.52,3.19,1.27,1.1,13.4,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-08-28,2024,1895.0,20.7,13.65,3.09,1.52,1.23,14.7,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2024-09-09,2024,2044.0,22.5,11.03,3.18,2.04,1.31,14.5,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2025-07-06,2025,946.0,4.1,34.57,2.96,0.12,0.49,,1,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2025-07-20,2025,1208.0,4.2,37.13,2.77,0.11,0.61,12.4,1,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2025-07-30,2025,1387.0,9.4,33.05,3.04,0.28,0.71,12.0,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2025-08-19,2025,1717.0,22.5,16.67,3.08,1.36,1.14,13.8,5,1,Extension monitoring
Marquette,NYWGF,Finger Lakes,2025-09-04,2025,1916.0,25.3,11.25,3.32,2.25,1.04,13.1,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2024-07-01,2024,1008.0,3.1,19.85,2.87,0.16,0.52,10.7,1,1,Extension monitoring
Marquette,NYWGF,Western NY,2024-07-18,2024,1316.0,4.0,30.24,2.98,0.13,0.74,12.0,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2024-07-30,2024,1518.0,11.9,28.3,2.95,0.42,1.26,12.4,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2024-08-13,2024,1762.0,15.7,16.89,3.08,0.94,1.66,12.8,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2024-08-26,2024,1954.0,19.8,13.91,3.32,1.44,1.26,12.1,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2025-07-07,2025,998.0,3.6,25.96,2.93,0.14,,,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2025-07-24,2025,1295.0,4.7,31.97,2.86,0.15,,,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2025-08-07,2025,1535.0,13.5,21.75,3.15,0.62,,,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2025-08-19,2025,1757.0,20.1,13.58,3.36,1.49,,,5,1,Extension monitoring
Marquette,NYWGF,Western NY,2025-09-08,2025,2002.0,21.6,10.34,3.61,2.1,1.35,13.5,5,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2024-08-26,2024,1940.0,18.5,17.36,2.83,1.07,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2024-09-02,2024,2042.0,21.9,12.26,2.95,1.79,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2025-08-25,2025,1816.0,16.5,18.21,2.77,0.91,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2025-09-05,2025,1954.0,19.5,15.39,2.88,1.27,,,2,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2025-09-15,2025,2072.0,21.4,12.56,2.98,1.7,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Champlain Valley,2025-09-22,2025,2143.0,23.4,11.34,3.18,2.06,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1797.0,18.2,14.78,2.92,1.23,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2024-08-26,2024,1890.0,21.1,13.96,2.99,1.51,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2024-09-05,2024,1938.0,21.2,12.92,2.93,1.64,,,2,1,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2024-09-09,2024,2034.0,23.2,6.48,3.01,9.62,,,2,2,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2025-08-25,2025,1741.0,21.4,19.03,2.79,1.12,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2025-09-01,2025,1845.0,23.7,16.33,2.87,1.45,,,3,2,Extension monitoring
Marquette,Veraison to Harvest,Finger Lakes,2025-09-02,2025,1917.0,25.0,15.4,2.94,1.62,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-08-26,2024,1854.0,17.5,16.7,2.74,1.05,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-08-29,2024,1935.0,18.3,14.72,2.99,1.25,,,2,2,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-09-04,2024,2048.0,20.6,12.51,3.1,1.66,,,3,3,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-09-09,2024,2213.0,22.5,10.61,3.39,2.12,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-09-11,2024,2147.0,22.3,11.5,3.21,1.95,,,3,3,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2024-09-30,2024,2355.0,23.2,9.13,3.48,2.54,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-08-25,2025,1772.0,20.1,21.45,2.69,0.94,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-08-30,2025,1851.0,21.5,16.11,2.95,1.35,,,3,2,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-09-03,2025,1963.0,22.0,13.67,3.1,1.62,,,3,3,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-09-13,2025,2056.0,23.5,12.54,3.09,1.9,,,4,3,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-09-15,2025,2143.0,24.6,10.94,3.36,2.26,,,2,2,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-10-02,2025,2246.0,26.5,9.29,3.46,2.86,,,2,1,Extension monitoring
Marquette,Veraison to Harvest,Hudson Valley,2025-10-13,2025,2323.0,27.4,9.7,3.48,2.82,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Lake Erie,2024-08-26,2024,1969.0,19.3,16.94,3.05,1.14,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Lake Erie,2024-09-02,2024,2088.0,19.4,17.57,3.18,1.1,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Lake Erie,2025-08-25,2025,1854.0,20.1,17.35,2.98,1.16,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Lake Erie,2025-09-02,2025,1944.0,21.5,22.4,3.02,0.96,,,1,1,Extension monitoring
Marquette,Veraison to Harvest,Lake Erie,2025-09-08,2025,2014.0,22.8,14.61,3.12,1.56,,,1,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-07-01,2024,968.0,3.7,21.63,3.01,0.17,0.21,8.8,1,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-07-16,2024,1256.0,3.8,32.88,2.74,0.12,0.69,11.9,1,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-07-31,2024,1512.0,4.5,38.38,2.74,0.12,0.7,12.2,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-08-12,2024,1716.0,8.8,22.87,2.88,0.39,0.85,12.0,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-08-28,2024,1958.0,15.6,11.26,3.13,1.39,1.32,13.6,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-09-09,2024,2111.0,17.9,8.06,3.19,2.23,1.59,14.2,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2024-09-24,2024,2323.0,19.4,5.67,3.26,3.41,1.64,15.5,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-07-06,2025,980.0,4.7,27.76,3.05,0.17,0.17,,1,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-07-20,2025,1248.0,3.8,33.7,2.75,0.11,0.65,12.9,1,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-08-03,2025,1486.0,4.6,40.99,2.9,0.11,0.66,12.3,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-08-20,2025,1786.0,10.7,20.82,2.87,0.51,0.96,13.1,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-09-04,2025,1980.0,15.5,7.21,3.15,2.18,1.27,14.3,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-09-17,2025,2134.0,19.0,5.45,3.33,3.53,1.61,14.8,5,1,Extension monitoring
Merlot,NYWGF,Finger Lakes,2025-09-29,2025,2290.0,21.4,5.82,3.33,3.7,1.63,14.7,5,1,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2024-08-26,2024,2005.0,15.4,10.57,3.2,1.46,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2024-09-02,2024,2125.0,17.9,8.07,3.39,2.26,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2024-09-09,2024,2213.0,14.2,6.7,3.5,2.19,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2024-09-16,2024,2307.0,20.4,5.75,3.58,3.58,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2024-09-26,2024,2454.0,21.1,5.62,3.67,3.78,,,4,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-08-25,2025,1984.0,15.6,11.23,3.15,1.39,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-09-02,2025,2093.0,18.2,7.75,3.26,2.36,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-09-08,2025,2177.0,19.4,6.34,3.4,3.06,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-09-15,2025,2272.0,20.2,5.92,3.45,3.41,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-09-22,2025,2365.0,21.3,5.64,3.54,3.78,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-09-29,2025,2476.0,21.5,5.62,3.54,3.83,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-10-06,2025,2560.0,22.0,4.86,3.65,4.56,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Long Island,2025-10-13,2025,2628.0,22.0,5.72,3.54,3.86,,,2,2,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-08-25,2025,1855.0,16.0,13.77,2.77,1.16,,,1,1,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-09-02,2025,1949.0,18.2,11.0,2.92,1.65,,,1,1,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-09-08,2025,2019.0,18.8,9.6,2.97,1.96,,,1,1,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-09-15,2025,2108.0,21.4,7.67,3.09,2.79,,,1,1,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-09-22,2025,2203.0,23.6,7.22,3.09,3.27,,,1,1,Extension monitoring
Merlot,Veraison to Harvest,Niagara,2025-10-02,2025,2350.0,22.8,6.92,3.16,3.3,,,2,1,Extension monitoring
NY06,NYWGF,Finger Lakes,2025-07-21,2025,1209.0,4.2,42.73,2.88,0.1,0.36,9.9,6,1,Extension monitoring
NY06,NYWGF,Finger Lakes,2025-08-19,2025,1705.0,5.9,49.18,3.0,0.12,0.39,10.8,5,1,Extension monitoring
NY06,NYWGF,Finger Lakes,2025-09-04,2025,1906.0,11.4,15.67,3.04,0.75,0.5,10.6,5,1,Extension monitoring
NY06,NYWGF,Finger Lakes,2025-09-18,2025,2066.0,13.6,8.99,3.08,1.52,0.72,11.5,5,1,Extension monitoring
NY06,NYWGF,Finger Lakes,2025-09-29,2025,2206.0,14.3,6.55,3.07,2.25,0.7,11.7,5,1,Extension monitoring
Niagara,NYWGF,Western NY,2024-07-01,2024,1021.0,3.4,22.03,2.77,0.15,1.58,15.2,1,1,Extension monitoring
Niagara,NYWGF,Western NY,2024-07-18,2024,1330.0,3.7,28.99,2.92,0.13,2.14,16.6,5,1,Extension monitoring
Niagara,NYWGF,Western NY,2024-07-30,2024,1534.0,5.1,34.39,2.82,0.15,2.7,17.8,5,1,Extension monitoring
Niagara,NYWGF,Western NY,2024-08-13,2024,1778.0,8.1,25.58,2.78,0.32,2.76,16.0,5,1,Extension monitoring
